epoch,loss
0,0.022447524031657614
1,0.017054044873353387
2,0.01597099187799734
3,0.015466231909310972
4,0.015133617959174037
5,0.014918299870879332
6,0.014787999571387685
7,0.014730665691975044
8,0.014645713111477637
9,0.014596296674009974
10,0.014540309835140803
11,0.01451259222238041
12,0.01449040550590533
13,0.014450081921002797
14,0.014434054431203705
15,0.01443577047765852
16,0.014409814815167793
17,0.01439954067959689
18,0.01442366998129919
19,0.014301013981154694
20,0.01414734933354952
21,0.014084529116378657
22,0.014009309907837117
23,0.013907113133044808
24,0.013872354435499999
25,0.01385373989606405
26,0.013814110810118192
27,0.013763852086104107
28,0.013779074985497776
29,0.0137445626715529
30,0.013752562844373024
31,0.013705260719339613
32,0.01372131409663459
33,0.013682798983659945
34,0.013694570411997344
35,0.013686739344202961
36,0.013671157833441925
37,0.013677111766619607
38,0.013655628464403937
39,0.013686473461929739
40,0.01362765209928216
41,0.013619234945469195
42,0.013622633420302541
43,0.013604652332458438
44,0.01359819179798854
45,0.01360133732211507
46,0.013606309896509482
47,0.013614400570421304
48,0.013606222073976009
49,0.013586927960319217
50,0.01357553384601654
51,0.01358826423129523
52,0.013572625628937246
53,0.013568691809440266
54,0.01353814854429285
55,0.01354820637098759
56,0.013538706273041145
57,0.013554438486997857
58,0.013547923539662398
59,0.01353095060127715
60,0.013555652903170281
61,0.01355119125715825
62,0.013532099238963752
63,0.01353088664382173
64,0.013510103310522081
65,0.013511594524685819
66,0.013515683177519978
67,0.013490889243873927
68,0.013514636524027242
69,0.013518809097887696
70,0.013504073653697773
71,0.013528712932110852
72,0.013529112502139881
73,0.013494827577534665
74,0.013497645168258424
75,0.013494857876623786
76,0.013511509162317265
77,0.013506214665989794
78,0.013490478231805363
79,0.013474769040279817
80,0.013491965208874745
81,0.01346290877740923
82,0.013469854983114718
83,0.013484102745882288
84,0.013482976235007145
85,0.013479959240491573
86,0.013461424164235174
87,0.013489892747984398
88,0.013464363329674135
89,0.013499089878647348
90,0.013476370270934021
91,0.01347184683045082
92,0.013460397246018148
93,0.01345607402952038
94,0.013451600841974108
95,0.013448116674204435
96,0.013479786027979949
97,0.013443076837242562
98,0.013432180023639594
99,0.013450458304794874
100,0.013463295290223512
101,0.013451972626477947
102,0.01344153059387738
103,0.013462380758413838
104,0.013446901065221974
105,0.013460339645512704
106,0.013436737432565737
107,0.013447494264690017
108,0.013431826506992013
109,0.01345302170316289
110,0.013461231142906512
111,0.0134431030751653
112,0.013443193787071497
113,0.013431472144301822
114,0.013449696751806961
115,0.013436679444525602
116,0.013445257449577183
117,0.013440420283535856
118,0.01343265379121941
119,0.01344303746292793
120,0.013435021613354482
121,0.013428731741285796
122,0.013418576346714737
123,0.013437841165223095
124,0.013417933080717457
125,0.013423018235008658
126,0.013423444226461476
127,0.013451327816477518
128,0.013415826644846258
129,0.01344711777355237
130,0.01344340578400194
131,0.013415447041619497
132,0.013421377135587418
133,0.01340954814489744
134,0.01341339575729711
135,0.013445265873390835
136,0.013431495216161297
137,0.013421463297785336
138,0.013413762723998579
139,0.0134166751900995
140,0.01343555469864102
141,0.013420262187026175
142,0.013419219721652786
143,0.01340246372142713
144,0.013427288355901595
145,0.013423718893509462
146,0.013418172006679953
147,0.013414591087383689
148,0.013397657794889233
149,0.01342281085397798
150,0.01340956829751535
151,0.01340003260778553
152,0.0134284780543684
153,0.013406038288889225
154,0.01340076955161835
155,0.013415958766679286
156,0.013410328914271434
157,0.013399840113931971
158,0.013398086886458039
159,0.013404205820617578
160,0.013400725588073033
161,0.01341229995777372
162,0.013417120906660262
163,0.013406788932690988
164,0.013424920715593562
165,0.0133891890370682
166,0.013409848172584058
167,0.013419920922909702
168,0.013405424541570298
169,0.013401285026164786
170,0.013429329853964238
171,0.013372051766683175
172,0.013404652294953159
173,0.013405871331318311
174,0.013408311809096877
175,0.013389743001294849
176,0.013420881293706173
177,0.013414718951303077
178,0.013381412898209639
179,0.013387856940346065
180,0.013418158333339833
181,0.013395255758727562
182,0.013406149537290161
183,0.01340897726549653
184,0.013428167429598589
185,0.013413296126575616
186,0.013419897148649067
187,0.013397692447712897
188,0.01341515734229485
189,0.013403282972395293
190,0.013403308264410017
191,0.013379737900125649
192,0.013380433919625267
193,0.013393591976096892
194,0.0134082551106202
195,0.013406001598537536
196,0.013381583605073398
197,0.013395613775085977
198,0.013375969496233549
199,0.013404310844067143
200,0.01335723290730923
201,0.013379822998041663
202,0.013383953784841068
203,0.01339916831908875
204,0.013394068634613137
205,0.0133990995970518
206,0.013379933029177385
207,0.013387785948468896
208,0.013395077815774554
209,0.013405362766668642
210,0.01339097334499502
211,0.013401244716077688
212,0.013375773272384851
213,0.01338215160476353
214,0.013393432246076321
215,0.013385906813600641
216,0.013365722657172126
217,0.013379853582015296
218,0.01336807530981844
219,0.013379787759880302
220,0.013367776437642403
221,0.013394362889402376
222,0.013384601661851578
223,0.013392962928180978
224,0.013388125500932782
225,0.013386971067409272
226,0.013382887480165324
227,0.013409448745908797
228,0.013391634350756493
229,0.013381924810772931
230,0.01337562515439914
231,0.01338055177236644
232,0.013381441962813457
233,0.013364111595121315
234,0.013377883048405603
235,0.01339783339810703
236,0.013378259569042403
237,0.013386426079617514
238,0.013366240648428599
239,0.013367480281156356
240,0.013391603175676529
241,0.013351857620669177
242,0.013373157381554724
243,0.01337055925429624
244,0.013385421269010439
245,0.013354342945274144
246,0.01335731546298077
247,0.013384567604600267
248,0.013373353264794151
249,0.013379849952913116
250,0.013381009885699131
251,0.013382719942015762
252,0.013345548933916249
253,0.013372262763460372
254,0.013372120938237983
255,0.013387631931667325
256,0.013381842553860204
257,0.013385886339382617
258,0.013375225646241233
259,0.013369335794110659
260,0.0133591947820393
261,0.013363106646637722
262,0.013364364482227987
263,0.013350034834849811
264,0.01338806467736658
265,0.013349696032200691
266,0.01338828136733735
267,0.013348745730826254
268,0.013373534860339306
269,0.013370825301617836
270,0.013346983206504208
271,0.01337402748066448
272,0.013399364777099599
273,0.013378648144334208
274,0.013381509034180297
275,0.013376563870878872
276,0.013381115833334461
277,0.013363438832557948
278,0.013366647114205068
279,0.013366921203739479
280,0.013365014305853093
281,0.013376306022464304
282,0.01334631793329057
283,0.013362505013244924
284,0.013373417792861848
285,0.0133522794866571
286,0.013350998033924876
287,0.013351636393347445
288,0.013359955937621203
289,0.013373220420155717
290,0.01335744334436101
291,0.013366047505279158
292,0.013366591698668386
293,0.01336764011042304
294,0.013371791779158211
295,0.013358634159736519
296,0.013361064973552064
297,0.013356646482656413
298,0.013379157593510722
299,0.01337199404542186
300,0.013349665882526361
301,0.013353553359482937
302,0.013366059920181016
303,0.013381447313193257
304,0.01335940835160916
305,0.013346209042646034
306,0.013352612021783786
307,0.013369284093491179
308,0.013362497054599562
309,0.013355560310820516
310,0.013365172342984996
311,0.013351635625986567
312,0.013376708865574048
313,0.013336665844652356
314,0.013344033385927677
315,0.013358219037413278
316,0.013357058746753178
317,0.013369038537918957
318,0.013364573490219725
319,0.013361388573214035
320,0.013341655155727656
321,0.013356055304043404
322,0.013382135876415829
323,0.013349336529316094
324,0.013362506355244625
325,0.013361619651299828
326,0.013350575966194092
327,0.013379897416949199
328,0.013360314482851134
329,0.01336782535199994
330,0.013347210234384212
331,0.013360970073851581
332,0.01335199143483318
333,0.013349323423019888
334,0.013359486323060806
335,0.013352469398371914
336,0.013334700032110623
337,0.01334818854562831
338,0.01335754207637084
339,0.013368692527713815
340,0.01336151330194405
341,0.013346077040375513
342,0.013342508999427063
343,0.013339516038338769
344,0.013344447119267877
345,0.013366554710953321
346,0.013328031563181457
347,0.01335993922171965
348,0.013349561493945821
349,0.013359393937245424
350,0.013367983573077
351,0.013347925787607637
352,0.01334789283607156
353,0.013357696129274187
354,0.013359125907468638
355,0.013371177894740472
356,0.013340442965313509
357,0.013356500462761238
358,0.013346641197567082
359,0.01334796417452323
360,0.01335040497147125
361,0.0133298569200003
362,0.013372851767233648
363,0.013351662991956188
364,0.013361437574326649
365,0.013335034851074254
366,0.013337673383488426
367,0.013354778553002815
368,0.013357659187942291
369,0.013363367413319354
370,0.013373641707160966
371,0.013350407171673169
372,0.013318424196847867
373,0.013377522829135905
374,0.013345964749203583
375,0.013366991386547445
376,0.013331982639685684
377,0.013361108099055876
378,0.013335727886590794
379,0.013343111089817235
380,0.013345669456701363
381,0.013338139985545934
382,0.01335349056638497
383,0.013350152018567136
384,0.013344666184520446
385,0.013355964480965097
386,0.013343537856886316
387,0.013342597887803183
388,0.013343126652503803
389,0.013358213139976025
390,0.013343063748723412
391,0.013336600197555276
392,0.013345551903775524
393,0.013355298451335228
394,0.013343685793964099
395,0.013341524956236188
396,0.013345371048391452
397,0.013342946269918506
398,0.013332656445787634
399,0.013341017911863592
400,0.013359073430716307
401,0.01335069356020769
402,0.013366048895297498
403,0.013358888047874062
404,0.013326760018670893
405,0.013337483363189094
406,0.013321287410130118
407,0.013328685117074844
408,0.01335519045497574
409,0.013319790243907297
410,0.013341733378358263
411,0.01332668624341591
412,0.01334351972697723
413,0.013341491965022627
414,0.013339161430472653
415,0.013360523777249425
416,0.013336500884298656
417,0.013342600226959205
418,0.013345775202708335
419,0.013341883476956602
420,0.01334797887851575
421,0.013335660023787327
422,0.013354206869476509
423,0.01334494950354806
424,0.013322711278903514
425,0.0133234039153971
426,0.013328944067404272
427,0.013340725608396244
428,0.013320872904993276
429,0.01332353743812345
430,0.01334476264279029
431,0.013346518631458661
432,0.013357523608834165
433,0.01331924549177925
434,0.013330425120178787
435,0.013320581104129906
436,0.013332800316335491
437,0.013330248667342294
438,0.01334298386903193
439,0.013350419271353676
440,0.013344198275546601
441,0.013344958586023026
442,0.013336049886867114
443,0.013328610241586936
444,0.01335813245519797
445,0.01335197477542342
446,0.013342593910170694
447,0.01334937341445901
448,0.013339302889055434
449,0.01334039370973521
450,0.013313625448079701
451,0.01333368062672153
452,0.013324348300320471
453,0.013322040002917545
454,0.013348979961376788
455,0.0133243176460526
456,0.013330176026950332
457,0.013348895508876015
458,0.013333835052138495
459,0.013346709976660343
460,0.013343289767328228
461,0.013314544373558423
462,0.01332864757126387
463,0.013336990724540228
464,0.013340158728394468
465,0.01331419090544768
466,0.0133395135506767
467,0.013348308194010769
468,0.016332160120970187
469,0.013550398867047554
470,0.013412424240760452
471,0.013376814910161357
472,0.013359043577769219
473,0.013342874319602195
474,0.013347351184885026
475,0.0133440194532455
476,0.013333214305817647
477,0.013330695349045903
478,0.013357844783903564
479,0.013323512664690503
480,0.013335763076453415
481,0.013325810597134358
482,0.013345773186317982
483,0.013328027607917447
484,0.01334589423934544
485,0.013322023572869076
486,0.013363637603599153
487,0.013320078313485004
488,0.013331675385764963
489,0.01333959111316619
490,0.013317140002486676
491,0.013342984624171439
492,0.013339369392534717
493,0.013329209547127165
494,0.013349361307440029
495,0.013327095927417446
496,0.013319184259946236
